"spine","title","year","ccid","dbid"
"0292","Unfaithfully Yours","1948","876","1294824"
"0293","The Flowers of St. Francis","1950","874","1303580"
"0294","The Browning Version","1951","873","1304763"
"0295","Crazed Fruit","1956","872","1424640"
"0296","Le notti bianche","1957","868","1303561"
"0297","Au hasard Balthazar","1966","455","1401619"
"0298","Gate of Flesh","1964","863","1424613"
"0299","Story of a Prostitute","1965","862","1429146"
"0300","The Life Aquatic with Steve Zissou","2004","741","1308976"
"0301","An Angel at My Table","1990","742","1302606"
"0302","Harakiri","1962","743","1304920"
"0303","Bad Timing","1980","744","1301284"
"0304","The Man Who Fell to Earth","1976","755","1293443"
"0305","Boudu Saved from Drowning","1932","756","1302490"
"0306","Le samouraï","1967","184","1300966"
"0307","Naked","1993","220","1299077"
"0308","Masculin féminin","1966","508","1300522"
"0309","Ugetsu","1953","369","1303577"
"0310","Samurai Rebellion","1967","753","1300738"
"0311","Sword of the Beast","1965","761","1434330"
"0312","Samurai Spy","1965","762","1434178"
"0313","Kill!","1968","763","1547174"
"0314","Pickpocket","1959","229","1303559"
"0315","Shoot the Piano Player","1960","764","1298095"
"0316","Ran","1985","754","1296196"
"0317","The Tales of Hoffmann","1951","748","1299277"
"0318","Forbidden Games","1952","350","1421933"
"0319","The Bad Sleep Well","1960","765","1297589"
"0320","Young Mr. Lincoln","1939","766","1293499"
"0321","The Virgin Spring","1960","372","1293156"
"0322","The Complete Mr. Arkadin","1955","767","1303567"
"0323","The Children Are Watching Us","1944","772","1294236"
"0324","La bête humaine","1938","773","1436858"
"0325","Kind Hearts and Coronets","1949","357","1295995"
"0326","Metropolitan","1990","774","1303915"
"0327","Murmur of the Heart","1971","775","1297201"
"0327","Lacombe, Lucien","1974","776","1432637"
"0327","Au revoir les enfants","1987","549","1292586"
"0328","Murmur of the Heart","1971","775","1297201"
"0329","Lacombe, Lucien","1974","776","1432637"
"0330","Au revoir les enfants","1987","549","1292586"
"0331","Late Spring","1949","298","1307265"
"0332","Viridiana","1961","373","1303557"
"0333","Fists in the Pocket","1965","348","1401620"
"0334","Harlan County USA","1976","777","1294724"
"0335","Elevator to the Gallows","1958","778","1394342"
"0336","Dazed and Confused","1993","314","1294720"
"0337","À nos amours","1983","779","1421934"
"0338","Equinox","1970","780","1743692"
"0339","Yi Yi","2000","781","1292434"
"0340","Koko: A Talking Gorilla","1978","782","1765574"
"0341","A Canterbury Tale","1944","785","1295943"
"0343","The Bakery Girl of Monceau","1963","786","1394348"
"0344","Suzanne’s Career","1963","787","1293030"
"0345","My Night at Maud’s","1969","791","1296283"
"0346","La collectionneuse","1967","792","1297344"
"0347","Claire’s Knee","1970","793","1294915"
"0348","Love in the Afternoon","1972","794","1293963"
"0349","Kicking and Screaming","1995","795","1303435"
"0350","Seduced and Abandoned","1964","796","1295801"
"0351","The Spirit of the Beehive","1973","367","1401900"
"0352","Jigoku","1960","797","1764189"
"0353","Sólo con tu pareja","1991","798","1468030"
"0354","Clean, Shaven","1994","551","1498848"
"0355","Hands over the City","1963","799","1295463"
"0356","Sweetie","1989","749","1298736"
"0357","The Fallen Idol","1948","346","1476698"
"0358","Pandora’s Box","1929","362","1401368"
"0359","The Double Life of Véronique","1991","214","1291877"
"0360","Symbiopsychotaxiplasm","1968","751","1876327"
"0361","The Beales of Grey Gardens","2006","666","1876329"
"0362","Border Radio","1987","802","1904185"
"0363","Mouchette","1967","456","1302413"
"0365","First Man into Space","1959","803","1293814"
"0366","The Atomic Submarine","1959","804","1294329"
"0367","The Haunted Strangler","1958","805","1293061"
"0368","Corridors of Blood","1959","806","1904183"
"0369","Borderline","1930","810","1924245"
"0369","Paul Robeson: Tribute to an Artist","1979","808","1924241"
"0369","Jericho","1937","812","1924247"
"0369","Native Land","1942","814","1924252"
"0370","The Emperor Jones","1933","807","1922044"
"0371","Body and Soul","1925","809","1924243"
"0372","Sanders of the River","1935","811","1924246"
"0373","The Proud Valley","1940","813","1924251"
"0374","Bicycle Thieves","1948","210","1295873"
"0375","Green for Danger","1946","815","1297944"
"0376","49th Parallel","1941","520","1293592"
"0377","When a Woman Ascends the Stairs","1960","816","1419479"
"0378","Fires on the Plain","1959","347","1296872"
"0379","The Burmese Harp","1956","817","1303090"
"0380","The Naked City","1948","818","1299245"
"0381","La haine","1995","216","1306449"
"0382","Overlord","1975","550","1295876"
"0383","Brute Force","1947","820","1464169"
"0384","Vengeance Is Mine","1979","822","1294940"
"0385","Army of Shadows","1969","153","1466419"
"0386","Sansho the Bailiff","1954","823","1303573"
"0387","La Jetée","1963","329","1306626"
"0387","Sans Soleil","1983","304","1401901"
"0388","The Two of Us","1967","757","1302428"
"0389","WR: Mysteries of the Organism","1971","824","1845260"
"0390","Sweet Movie","1974","552","1466290"
"0391","If....","1968","825","1307973"
"0393","Pitfall","1962","827","1432780"
"0394","Woman in the Dunes","1964","826","1295812"
"0395","The Face of Another","1966","828","1432779"
"0396","Ace in the Hole","1951","829","1293841"
"0397","Ivan’s Childhood","1962","830","1294421"
"0398","Les enfants terribles","1950","758","1302072"
"0399","House of Games","1987","831","1303136"
"0400","Stranger Than Paradise","1984","252","1303723"
"0401","Night on Earth","1991","227","1301498"
"0402","The Milky Way","1969","832","1441509"
"0403","Cría cuervos . . .","1976","519","1303813"
"0404","Robinson Crusoe on Mars","1964","821","1298361"
"0405","The Threepenny Opera","1931","834","2130853"
"0406","A Dancer's World","1957","835","3031528"
"0406","Appalachian Spring","1958","835","2130872"
"0406","Night Journey","1960","835","2130874"
"0407","Mala Noche","1985","253","1306451"
"0408","Breathless","1960","268","1353745"
"0409","Days of Heaven","1978","213","1293232"
"0410","Under the Volcano","1984","837","1295993"
"0411","Berlin Alexanderplatz","1980","839","1300660"
"0412","Sawdust and Tinsel","1953","842","1300957"
"0413","Drunken Angel","1948","845","1294859"
"0414","Two-Lane Blacktop","1971","847","1868546"
"0415","The Naked Prey","1965","848","1304237"
"0416","Miss Julie","1951","361","1471839"
"0417","This Sporting Life","1963","853","1297865"
"0419","La Pointe Courte","1956","524","1297682"
"0420","Le bonheur","1965","525","1483516"
"0421","Pierrot le fou","1965","149","1292533"
"0422","The Last Emperor","1987","254","1293172"
"0423","Walker","1987","526","1305051"
"0424","Mafioso","1962","527","1962145"
"0425","Antonio Gaudí","1984","536","1418492"
"0426","The Ice Storm","1997","336","1300930"
"0427","Death of a Cyclist","1955","537","1475649"
"0428","Blast of Silence","1961","538","2382777"
"0429","The Lovers","1958","539","1296250"
"0430","The Fire Within","1963","540","1395247"
"0431","The Thief of Bagdad","1940","544","1293444"
"0432","Mishima: A Life in Four Chapters","1985","588","1305345"
"0433","Patriotism","1966","589","1437480"
"0434","Classe tous risques","1960","591","1783575"
"0435","The Furies","1950","596","2139359"
"0436","Before the Rain","1994","858","1303036"
"0437","Vampyr","1932","661","1300749"
"0438","Mon oncle Antoine","1971","590","1304873"
"0439","Trafic","1971","859","2007345"
"0440","Brand upon the Brain!","2006","746","1998458"
"0441","The Small Back Room","1949","747","1476630"
"0442","Twenty-Four Eyes","1954","745","1306807"
"0443","La ronde","1950","573","1294304"
"0444","Le plaisir","1952","572","1848300"
"0445","The Earrings of Madame de . . .","1953","571","1301122"
"0446","An Autumn Afternoon","1962","784","1294433"
"0447","Le doulos","1962","759","1466414"
"0448","Le deuxième souffle","1966","760","1438068"
"0449","Missing","1982","769","1292927"
"0450","Bottle Rocket","1996","594","1294548"
"0451","Fanfan la Tulipe","1952","750","1298539"
"0452","The Spy Who Came in from the Cold","1965","860","1293190"
"0453","Chungking Express","1994","226","1291999"
"0454","Europa","1991","768","1296116"
"0455","White Dog","1982","861","2241829"
"0456","The Taking of Power by Louis XIV","1966","971","1303546"
"0457","Magnificent Obsession","1954","973","1295080"
"0458","El Norte","1983","972","1296066"
"0459","The Exterminating Angel","1962","1076","1303556"
"0460","Simon of the Desert","1965","1077","1302911"
"0461","Hobson’s Choice","1954","1078","1293170"
"0462","The Last Metro","1980","1084","1298616"
"0463","Il Generale Della Rovere","1959","1085","1294393"
"0464","Danton","1983","555","1305630"
"0465","Dodes’ka-den","1970","1083","1303077"
"0466","In the Realm of the Senses","1976","1287","1292790"
"0467","Empire of Passion","1978","1288","1294597"
"0468","Hyas et stenorinques","1929","1286","3431475"
"0468","Les Oursins","1958","1286","3431653"
"0468","Comment naissent les méduses","1960","1286","3431660"
"0468","Cristaux liquides","1978","1286","5169146"
"0468","L'hippocampe, ou 'Cheval marin'","1934","1286","3127835"
"0468","Les amours de la pieuvre","1967","1286","5169137"
"0468","Histoires de crevettes","1964","1286","6523968"
"0468","Acéra ou Le bal des sorcières","1972","1286","4262639"
"0468","Le vampire","1945","1286","1874753"
"0468","Assassins d'eau douce","1947","1286","3431648"
"0468","Danseuses de mer, Les","1960","1286","3431659"
"0468","Diatomées","1968","1286","5169145"
"0468","Les pigeons du square","1982","1286","5168667"
"0468","La Pieuvre","1928","1286","2242961"
"0468","Les oursins","1929","1286","2221082"
"0468","La daphnie","1929","1286","3431485"
"0468","L'Oeufs d'épinoche","1929","1286","3431468"
"0468","Traitement expérimental d'une hémorragie chez le chien","1930","1286","6531769"
