"rank","name_cn","name","date","bgmid","dbid"
"156","剧场版 吹响！悠风号～誓言的终章～","劇場版 響け！ユーフォニアム～誓いのフィナーレ～","2019年4月19日","216372","27062638"
"157","白兔糖","うさぎドロップ","2011年7月7日","10843","4935011"
"158","续 夏目友人帐","続 夏目友人帳","2009年1月5日","891","3284269"
"159","海马","カイバ","2008年4月10日","1625","3023169"
"160","剧场版 空之境界 第七章 杀人考察（后）","劇場版 空の境界 第七章 殺人考察(後)","2009年8月8日","3423","3399553"
"161","一拳超人","ワンパンマン","2015年10月4日","127563","26339248"
"162","机动战士高达 第08MS小队","機動戦士ガンダム 第08MS小隊","1996年1月25日","2664","1766681"
"163","瑞克和莫蒂 第四季","Rick and Morty Season 4","2019年11月10日","246238","27166039"
"164","攻壳机动队 个别的十一人","攻殻機動隊 S.A.C. 2nd GIG Individual Eleven","2006年1月27日","48746","2352020"
"166","攻壳机动队 S.A.C. SSS 3D","攻殻機動隊 S.A.C. SOLID STATE SOCIETY 3D","2011年3月26日","12885","5403926"
"167","夏目友人帐","夏目友人帳","2008年7月7日","259","3060542"
"168","超时空要塞 可曾记得爱","超時空要塞マクロス 愛・おぼえていますか","1984年7月21日","3172","1427266"
"169","装甲骑兵VOTOMS","装甲騎兵ボトムズ","1983年4月1日","10379","3221036"
"170","AIR","","2005年1月6日","234","1980737"
"171","机动战士高达 THE ORIGIN","機動戦士ガンダム THE ORIGIN","2015年4月24日","62680","19897541"
"172","进击的巨人 第三季","進撃の巨人 Season 3","2018年7月22日","217300","30486795"
"173","小魔女DoReMi 童年秘密篇","おジャ魔女どれみナ・イ・ショ","2004年6月26日","14879","5948587"
"174","吊带袜天使","Panty & Stocking with Garterbelt","2010年10月1日","8402","4845425"
"175","奇诺之旅","キノの旅 -the Beautiful World-","2003年4月8日","1948","1512037"
"176","回忆积木小屋","つみきのいえ","2008年6月10日","11658","3560787"
"177","监狱兔 第一季","Usavich","2006年6月28日","1373","2326676"
"178","妄想代理人","妄想代理人","2004年2月2日","843","1441053"
"179","蜡笔小新 呼风唤雨！大人帝国的反击","クレヨンしんちゃん 嵐を呼ぶ モーレツ!オトナ帝国の逆襲","2001年4月21日","8986","1958667"
"180","夏目友人帐 肆","夏目友人帳 肆","2012年1月2日","23495","6855097"
"181","狼的孩子雨和雪","おおかみこどもの雨と雪","2012年7月21日","28440","7064681"
"182","百变之星 不死鸟传说 ～蕾拉・汉密尔顿物语～","カレイドスター Legend of phoenix 〜レイラ・ハミルトン物語〜","2006年1月27日","37063",""
"183","寒蝉鸣泣之时","ひぐらしのなく頃に","2006年4月4日","289","1946839"
"184","小马驹G4 第一季","My Little Pony: Friendship Is Magic (Season 1)","2010年10月10日","29870","20391434"
"185","机动警察 NEW OVA","機動警察パトレイバー NEW OVA","1990年11月22日","13552","1857664"
"186","狮子王","The Lion King","1994年6月15日","22985","1301753"
"187","蜘蛛侠：平行宇宙","Spider-Man: Into the Spider-Verse","2018年12月14日","232067","26374197"
"188","银之匙 Silver Spoon 第二季","銀の匙 Silver Spoon 第2期","2014年1月9日","77480","25021427"
"189","伤物语III 冷血篇","傷物語III 冷血篇","2017年1月6日","148037","26635321"
"190","你的名字。","君の名は。","2016年8月26日","160209","26683290"
"192","搞笑漫画日和","ギャグマンガ日和","2005年2月7日","2461","2249531"
"193","传说巨神伊迪安 发动篇","伝説巨神イデオン 発動篇","1982年7月10日","23304","4179418"
"194","小魔女DoReMi 大合奏","おジャ魔女どれみドッカ～ン!","2002年2月3日","14878","5948586"
"195","魔卡少女樱","カードキャプターさくら","1998年4月7日","1940","1465035"
"196","黑礁 The Second Barrage","BLACK LAGOON The Second Barrage","2006年10月2日","980","4174469"
"197","太空丹迪","スペース☆ダンディ","2014年1月5日","80864","24905970"
"198","辉夜姬物语","かぐや姫の物語","2013年11月23日","56847","4099231"
"199","校园迷糊大王","スクールランブル","2004年10月5日","440","1898729"
"200","回转企鹅罐","輪るピングドラム","2011年7月7日","18624","6085356"
"201","红猪","紅の豚","1992年7月18日","307","1291838"
"202","无限的未知","無限のリヴァイアス","1999年10月6日","1937","1947777"
"203","宇宙战舰大和号2199","宇宙戦艦ヤマト2199","2013年4月7日","54552","10549231"
"204","穿越时空的少女","時をかける少女","2006年7月15日","242","1937946"
"205","夏日大作战","サマーウォーズ","2009年8月1日","1905","3908423"
"206","精灵守护者","精霊の守り人","2007年4月7日","1976","2076924"
"207","物语系列 第二季","〈物語〉シリーズ セカンドシーズン","2013年7月6日","68812","20495792"
"208","四月是你的谎言","四月は君の嘘","2014年10月9日","100444","25851655"
"209","少女终末旅行","少女終末旅行","2017年10月6日","218707","27081136"
"210","小马驹G4 第二季","My Little Pony: Friendship Is Magic : S2","2011年9月17日","35858","6724972"
